line,lemmas
"Только те, кто предпринимают абсурдные попытки, смогут достичь невозможного.
",предпринимать абсурдный попытка смочь достигать невозможный
"Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться.
",жизнь  —  вождение велосипед сохранять равновесие должный двигаться
"Наблюдай внимательно за природой, и ты будешь все понимать намного лучше.
",наблюдать внимательно природа весь понимать намного
"Нет пространства и времени, а есть их единство.
",пространство время единство
"Поиск истины важнее, чем обладание истиной.
",поиск истина важный обладание истина
"Умные люди пытаются решать проблемы, блестящие стараются их не делать!
",умный человек пытаться решать проблема блестящий стараться делать
"Я никогда не думаю о будущем. Оно приходит само достаточно скоро.
",думать будущее оно приходить достаточно скоро
"Вечно непознаваемое в мире — это то в нем, что кажется нам понятным.
",вечно непознаваемый мир  —  это казаться понятный
"Малое знание — опасная вещь, впрочем, как и большое.
",малый знание  —  опасный вещь большой
"Наша главная проблема, похоже, заключается в том, что мы совершенствуем методы, но при этом путаемся в целях.
",наш главный проблема похоже заключаться совершенствовать метод это путаться цель
"Учитесь у вчера, живите сегодня, надейтесь на завтра. Главное — не прекращать задавать вопросы… Никогда не теряйте священной любознательности.
",учиться вчера жить сегодня надеяться завтра главное  —  прекращать задавать вопрос … терять священный любознательность
"Логика приведет вас из пункта А в пункт Б. Воображение приведет вас куда угодно.
",логика приводить пункт пункт б воображение приводить угодно
"Логика доставит вас от А до Я; воображение доставит вас повсюду.
",логика доставлять воображение доставлять повсюду
"Проблемы не могут быть решены на том же уровне мышления, который создал их.
",проблема мочь решать уровень мышление который создавать
"Слова были и остаются пустым звуком; и, служа идеалу лишь на словах, погибнуть за него невозможно. Но личность творится не тем, что человек слышит и говорит, а трудом и деятельностью.
",слово оставаться пустой звук служить идеал лишь слово погибать невозможно личность твориться человек слышать говорить труд деятельность
"Если бы мы знали, что мы делаем, это бы не называлось исследованием, не так ли?
",знать делать это называться исследование
"Кто никогда не совершал ошибок, тот никогда не пробовал что-то новое.
",совершать ошибка пробовать что-то новый
"Освобожденная энергия атомного ядра многое поставила под сомнение, в том числе и наш образ мысли. Если человек так и не сможет думать по-новому, мы неизбежно будем двигаться навстречу беспрецедентной катастрофе.
",освобождать энергия атомный ядро многое поставлять сомнение число наш образ мысль человек смочь думать по-новому неизбежно двигаться навстречу беспрецедентный катастрофа
"Невозможно решить проблему на том же уровне, на котором она возникла. Нужно стать выше этой проблемы, поднявшись на следующий уровень.
",невозможно решать проблема уровень который возникать нужно становиться высокий проблема подниматься следующий уровень
"Значительные проблемы, с которыми мы сталкиваемся, не могут быть решены на том же уровне мышления, на котором мы были при их появлении.
",значительный проблема который сталкиваться мочь решать уровень мышление который появление
"Любой дурак может знать. Дело в том, чтобы понять.
",любой дурак мочь знать дело понимать
"Порядок потребен лишь глупцу, гений властвует над хаосом.
",порядок потребный лишь глупец гений властвовать хаос
"Кто бы мог подумать в 1900 году , что через пятьдесят лет мы будем знать так много и понимать так мало.
",мочь подумать 1900 год пятьдесят год знать понимать мало
"Человек — это часть целого, которое мы называем Вселенной, часть, ограниченная во времени и в пространстве. Он ощущает себя, свои мысли и чувства как нечто отдельное от всего остального мира, что является своего рода оптическим обманом. Эта иллюзия стала темницей для нас, ограничивающей нас миром собственных желаний и привязанностью к узкому кругу близких нам людей. Наша задача — освободиться из этой тюрьмы, расширив сферу своего участия до всякого живого существа, до целого мира, во всем его великолепии. Никто не сможет выполнить такую задачу до конца, но уже сами попытки достичь эту цель являются частью освобождения и основанием для внутренней уверенности.
",человек  —  это часть целый который называть вселенная часть ограниченный время пространство ощущать свой мысль чувство нечто отдельный весь остальной мир являться свой род оптический обман иллюзия становиться темница ограничивать мир собственный желание привязанность узкий круг близкий человек наш задача  —  освобождаться тюрьма расширять сфера свой участие всякий живой существо целый мир великолепие никто смочь выполнять задача конец попытка достигать цель являться часть освобождение основание внутренний уверенность
"Самое непостижимое в этом мире — это то, что он постижим.",самый непостижимый мир  —  это постижимый
