line,lemmas
"Я ничему не учу своих учеников, я лишь создаю условия, в которых они сами научатся.
",ничто учить свой ученик лишь создавать условие который научаться
"Как много мы знаем, и как мало мы понимаем.
",знать мало понимать
"Единственное, чему научила меня моя долгая жизнь: что вся наша наука перед лицом реальности выглядит примитивно и по-детски наивно — и всё же это самое ценное, что у нас есть.
",единственный научать долгий жизнь весь наш наука лицо реальность выглядеть примитивно по-детски наивно  —  это самый ценный
"Поиск истины важнее, чем обладание истиной.
",поиск истина важный обладание истина
"Бессмысленно продолжать делать то же самое и ждать других результатов.
",бессмысленно продолжать делать самый ждать результат
"По-настоящему великие мысли приходят в голову так редко, что их нетрудно и запомнить.
",по-настоящему великий мысль приходить голова редко нетрудно запоминать
"Как много мы знаем, и как мало мы понимаем.
",знать мало понимать
"Логика доставит вас от А до Я; воображение доставит вас повсюду.
",логика доставлять воображение доставлять повсюду
"Любой дурак может знать. Дело в том, чтобы понять.
",любой дурак мочь знать дело понимать
"Я никогда не думаю о будущем. Оно приходит само достаточно скоро.
",думать будущее оно приходить достаточно скоро
"Логика доставит вас от А до Я; воображение доставит вас повсюду.
",логика доставлять воображение доставлять повсюду
"Из честолюбия или чувства долга не может родиться ничего ценного. Ценности возникают благодаря любви и преданности людям и объективным реалиям этого мира.
",честолюбие чувство долг мочь рождаться ничто ценный ценность возникать благодаря любовь преданность человек объективный реалия мир
"Воображение важнее, чем знания. Знания ограничены, тогда как воображение охватывает целый мир, стимулируя прогресс, порождая эволюцию.
",воображение важный знание знание ограничивать воображение охватывать целый мир стимулировать прогресс порождать эволюция
"Наблюдай внимательно за природой, и ты будешь все понимать намного лучше.
",наблюдать внимательно природа весь понимать намного
"Малое знание — опасная вещь, впрочем, как и большое.
",малый знание  —  опасный вещь большой
"Делай просто, насколько возможно, но не проще этого.
",делать просто насколько возможно просто это
"Логика приведет вас из пункта А в пункт Б. Воображение приведет вас куда угодно.
",логика приводить пункт пункт б воображение приводить угодно
"Вы должны изучить правила игры. И тогда вы будете играть лучше, чем кто-либо ещё.
",должный изучать правило игра играть кто-либо
"Часто случалось, что существенный успех был достигнут проведением последовательной аналогии между несвязанными по виду явлениями.",часто случаться существенный успех достигать проведение последовательный аналогия несвязанный вид явление
