line,lemmas
"Когда слепой жучок ползёт по плоскости шара, он не замечает, что путь, который он проделывает, искривлён. Мне удалось это заметить.
",слепой жучок ползти плоскость шар замечать путь который проделывать искривлять удаваться это замечать
"Есть только две бесконечные вещи: Вселенная и глупость. Хотя насчет Вселенной я не уверен.
",бесконечный вещь вселенная глупость хотя насчет вселенная уверенный
"Единственный разумный способ обучать людей — это подавать им пример.
",единственный разумный способ обучать человек  —  это подавать пример
"Только те, кто предпринимают абсурдные попытки, смогут достичь невозможного.
",предпринимать абсурдный попытка смочь достигать невозможный
"Тот, кто хочет видеть результаты своего труда немедленно, должен идти в сапожники.
",хотеть видеть результат свой труд немедленно должный идти сапожник
"Чтобы стать безупречным членом стада овец, нужно в первую очередь быть овцой.
",становиться безупречный член стадо овца нужно первый очередь овца
"Бессмысленно продолжать делать то же самое и ждать других результатов.
",бессмысленно продолжать делать самый ждать результат
"Никаким количеством экспериментов нельзя доказать теорию; но достаточно одного эксперимента, чтобы её опровергнуть.
",никакой количество эксперимент доказывать теория достаточно эксперимент опровергать
"Что может знать рыба о воде, в которой плавает всю жизнь?
",мочь знать рыба вода который плавать весь жизнь
"Мир невозможно удержать силой. Его можно лишь достичь пониманием.
",мир невозможно удерживать сила лишь достигать понимание
"Все мы гении. Но если вы будете судить рыбу по её способности взбираться на дерево, она проживёт всю жизнь, считая себя дурой.
",весь гений судить рыба способность взбираться дерево проживать весь жизнь считать дура
"Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться.
",жизнь  —  вождение велосипед сохранять равновесие должный двигаться
"Единственная причина для существования времени — чтобы все не случилось одновременно.
",единственный причина существование время  —  случаться одновременно
"Созданный сегодня нами мир как результат нашего мышления, до сих пор имеет проблемы, которые не могут быть решены, если думать таким же образом как при их образовании.
",создавать сегодня мир результат наш мышление сей пора иметь проблема который мочь решать думать образ образование
"Нельзя обвинять гравитацию в том, что люди влюбляются.
",обвинять гравитация человек влюбляться
"Есть только две бесконечные вещи: Вселенная и глупость. Хотя насчёт Вселенной я не вполне уверен.
",бесконечный вещь вселенная глупость хотя насчет вселенная вполне уверенный
"Сила всегда привлекает людей с низкими моральными качествами.
",сила привлекать человек низкий моральный качество
"Если вы хотите вести счастливую жизнь, вы должны быть привязаны к цели, а не к людям или к вещам.
",хотеть вести счастливый жизнь должный привязывать цель человек вещь
"Среди беспорядка найдите простоту; среди раздора найдите гармонию; в трудности найдите возможность…
",среди беспорядок находить простота среди раздор находить гармония трудность находить возможность …
"Информация в чистом виде ‒ это не знание. Настоящий источник знания ‒ это опыт.
",информация чистый вид  ‒  это знание настоящий источник знание  ‒  это опыт
"Разница между гениальностью и глупостью в том, что у первой есть свои границы.
",разница гениальность глупость первый свой граница
"Есть только два способа прожить жизнь. Первый — будто чудес не существует. Второй — будто кругом одни чудеса.
",способ проживать жизнь первый  —  чудо существовать второй  —  кругом чудо
"К величию есть только один путь, и этот путь проходит через страдания.
",величие путь путь проходить страдание
"Стремись не к тому, чтобы добиться успеха, а к тому, чтобы твоя жизнь имела смысл.
",стремиться добиваться успех твой жизнь иметь смысл
"Если А – это успех в жизни, тогда А=x+y+z, где x – это работай, y – играй, а z – держи язык за зубами.
", –  это успех жизнь x y z x  –  это работать y  –  играть z  –  держать язык зуб
"Наблюдай внимательно за природой, и ты будешь все понимать намного лучше.
",наблюдать внимательно природа весь понимать намного
"Когда видишь уравнение E=mc2, становится стыдно за свою болтливость.
",видеть уравнение e mc2 становиться стыдно свой болтливость
"Какая печальная эпоха, когда легче разбить атом, чем отказаться от предрассудков.
",печальный эпоха легко разбивать атом отказываться предрассудок
"Кто не поддается обману, не знает, что такое счастье.
",поддаваться обман знать счастие
"Действительность — это иллюзия, хотя и очень стойкая.
",действительность  —  это иллюзия хотя очень стойкий
"Никто не чешется, если у него не зудит.
",никто чесаться зудеть
"Поиск истины важнее, чем обладание истиной.
",поиск истина важный обладание истина
"Чтобы пробить стену лбом, нужен или большой разбег, или много лбов.
",пробивать стена лоб нужный большой разбег лоб
"Умные люди пытаются решать проблемы, блестящие стараются их не делать!
",умный человек пытаться решать проблема блестящий стараться делать
"Если не грешить против разума, нельзя вообще ни к чему прийти.
",грешить против разум вообще приходить
"Человек может найти смысл в жизни, только посвятив себя обществу.
",человек мочь находить смысл жизнь посвящать общество
"Подлинная ценность человека в первую очередь определяется мерой и смыслом, в каких он сумел отрешиться от своего «я».
",подлинный ценность человек первый очередь определяться мера смысл суметь отрешаться свой  « »
"Великие личности всегда наталкиваются на яростное противодействие посредственных умов.
",великий личность наталкиваться яростный противодействие посредственный ум
"Это очень просто, мои дорогие: потому что политика гораздо сложнее, чем физика.
",это очень просто дорогой политика гораздо сложный физика
"Малое знание — опасная вещь, впрочем, как и большое.
",малый знание  —  опасный вещь большой
"Все нужно упрощать до предела, но не более того.
",нужно упрощать предел
"Наша главная проблема, похоже, заключается в том, что мы совершенствуем методы, но при этом путаемся в целях.
",наш главный проблема похоже заключаться совершенствовать метод это путаться цель
"В юности я обнаружил, что большой палец ноги рано или поздно проделывает дырку в носке. Поэтому я перестал надевать носки.
",юность обнаруживать большой палец нога рано поздно проделывать дырка носок поэтому переставать надевать носок
"Учитесь у вчера, живите сегодня, надейтесь на завтра. Главное — не прекращать задавать вопросы… Никогда не теряйте священной любознательности.
",учиться вчера жить сегодня надеяться завтра главное  —  прекращать задавать вопрос … терять священный любознательность
"Логика приведет вас из пункта А в пункт Б. Воображение приведет вас куда угодно.
",логика приводить пункт пункт б воображение приводить угодно
"Чтобы выигрывать, прежде всего нужно играть.
",выигрывать прежде нужно играть
"Проблемы не могут быть решены на том же уровне мышления, который создал их.
",проблема мочь решать уровень мышление который создавать
"Если бы мы знали, что мы делаем, это бы не называлось исследованием, не так ли?
",знать делать это называться исследование
"Кто никогда не совершал ошибок, тот никогда не пробовал что-то новое.
",совершать ошибка пробовать что-то новый
"У вас есть записная книжка, чтобы записывать ваши гениальные мысли?
",записной книжка записывать ваш гениальный мысль
"Любой дурак может знать. Дело в том, чтобы понять.
",любой дурак мочь знать дело понимать
"Как много мы знаем, и как мало мы понимаем.
",знать мало понимать
"Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться.
",жизнь  —  вождение велосипед сохранять равновесие должный двигаться
"Нельзя обвинять гравитацию в том, что люди влюбляются.
",обвинять гравитация человек влюбляться
"Почему лучшие идеи осеняют меня, когда я моюсь в душе?
",почему хороший идея осенять мыться душа
"Наши убеждения и представления часто являются ловушкой, ограничивающей наши возможности. Единственным знанием, способным продвинуть нас на пути развития, является знание того, что воображение способно на все. И все, что возможно в нашем воображении, возможно и в реальности.
",наш убеждение представление часто являться ловушка ограничивать наш возможность единственный знание способный продвигать путь развитие являться знание воображение способный весь возможно наш воображение возможный реальность
"Среди беспорядка найдите простоту; среди раздора найдите гармонию; в трудности найдите возможность…
",среди беспорядок находить простота среди раздор находить гармония трудность находить возможность …
"К величию есть только один путь, и этот путь проходит через страдания.
",величие путь путь проходить страдание
"Никто не чешется, если у него не зудит.
",никто чесаться зудеть
"Поиск истины важнее, чем обладание истиной.
",поиск истина важный обладание истина
"Умные люди пытаются решать проблемы, блестящие стараются их не делать!
",умный человек пытаться решать проблема блестящий стараться делать
"Если не грешить против разума, нельзя вообще ни к чему прийти.
",грешить против разум вообще приходить
"Благоприятная возможность скрывается среди трудностей и проблем.
",благоприятный возможность скрываться среди трудность проблема
"Вечно непознаваемое в мире — это то в нем, что кажется нам понятным.
",вечно непознаваемый мир  —  это казаться понятный
"Малое знание — опасная вещь, впрочем, как и большое.
",малый знание  —  опасный вещь большой
"Самое прекрасное из всего, что мы можем переживать, — это непостижимое. Оно служит источником подлинных искусства и науки.
","самый прекрасный мочь переживать , —  это непостижимый оно служить источник подлинный искусство наука"
"Наша главная проблема, похоже, заключается в том, что мы совершенствуем методы, но при этом путаемся в целях.
",наш главный проблема похоже заключаться совершенствовать метод это путаться цель
"Если бы мы знали, что мы делаем, это бы не называлось исследованием, не так ли?
",знать делать это называться исследование
"Бог не играет в кости.
",бог играть кость
"
",
