line,lemmas
"Самое непостижимое в этом мире — это то, что он постижим.
",самый непостижимый мир  —  это постижимый
"Совершенные средства при неясных целях — характерный признак нашего времени. 	
",совершенный средство неясный цель  —  характерный признак наш время
"Нам нельзя терять веру в человечество, поскольку мы сами — люди.
",терять вера человечество поскольку  —  человек
"Чтобы стать безупречным членом стада овец, нужно в первую очередь быть овцой.
",становиться безупречный член стадо овца нужно первый очередь овца
"Только те, кто предпринимают абсурдные попытки, смогут достичь невозможного.
",предпринимать абсурдный попытка смочь достигать невозможный
"Разум, однажды расширивший свои границы, никогда не вернется в прежние.
",разум однажды расширять свой граница вернуться прежний
"Все с детства знают, что то-то и то-то невозможно. Но всегда находится невежда, который этого не знает. Он-то и делает открытие.
",детство знать то-то то-то невозможно находиться невежда который это знать делать открытие
"Как много мы знаем, и как мало мы понимаем.
",знать мало понимать
"Что может знать рыба о воде, в которой плавает всю жизнь?
",мочь знать рыба вода который плавать весь жизнь
"Наше положение на Земле поистине удивительно. Каждый появляется на ней на короткий миг, без понятной цели, хотя некоторым удаётся цель придумать. Но с точки зрения обыденной жизни очевидно одно: мы живём для других людей — и более всего для тех, от чьих улыбок и благополучия зависит наше собственное счастье.
",наш положение земля поистине удивительно каждый появляться короткий миг понятный цель хотя некоторый удаваться цель придумывать точка зрение обыденный жизнь очевидно жить человек  —  чей улыбка благополучие зависеть наш собственный счастие
"Слава делает меня всё глупее и глупее, что, впрочем, вполне обычно.
",слава делать глупый глупый вполне обычно
"Морскую болезнь вызывают у меня люди, а не море. Но, боюсь, наука ещё не нашла лекарства от этого недуга.
",морской болезнь вызывать человек море бояться наука находить лекарство недуг
"Логика доставит вас от А до Я; воображение доставит вас повсюду.
",логика доставлять воображение доставлять повсюду
"Учитесь у вчера, живите сегодня, надейтесь на завтра. Главное — не прекращать задавать вопросы… Никогда не теряйте священной любознательности.
",учиться вчера жить сегодня надеяться завтра главное  —  прекращать задавать вопрос … терять священный любознательность
"Наши убеждения и представления часто являются ловушкой, ограничивающей наши возможности. 
",наш убеждение представление часто являться ловушка ограничивать наш возможность
"Единственным знанием, способным продвинуть нас на пути развития, является знание того, что воображение способно на все. И все, что возможно в нашем воображении, возможно и в реальности.
",единственный знание способный продвигать путь развитие являться знание воображение способный весь возможно наш воображение возможный реальность
"Среди беспорядка найдите простоту; среди раздора найдите гармонию; в трудности найдите возможность…
",среди беспорядок находить простота среди раздор находить гармония трудность находить возможность …
"Есть только два способа прожить жизнь. Первый — будто чудес не существует. Второй — будто кругом одни чудеса.
",способ проживать жизнь первый  —  чудо существовать второй  —  кругом чудо
"К величию есть только один путь, и этот путь проходит через страдания.
",величие путь путь проходить страдание
"Стремись не к тому, чтобы добиться успеха, а к тому, чтобы твоя жизнь имела смысл.
",стремиться добиваться успех твой жизнь иметь смысл
"Если А – это успех в жизни, тогда А=x+y+z, где x – это работай, y – играй, а z – держи язык за зубами.
", –  это успех жизнь x y z x  –  это работать y  –  играть z  –  держать язык зуб
"Воображение важнее, чем знания. Знания ограничены, тогда как воображение охватывает целый мир, стимулируя прогресс, порождая эволюцию.
",воображение важный знание знание ограничивать воображение охватывать целый мир стимулировать прогресс порождать эволюция
"Жизнь священна; это, так сказать, верховная ценность, которой подчинены все прочие ценности.
",жизнь священный это сказать верховный ценность который подчинять весь прочий ценность
"Наблюдай внимательно за природой, и ты будешь все понимать намного лучше.
",наблюдать внимательно природа весь понимать намного
"Я хорошо знаю, что у меня нет особого таланта — любопытство, навязчивость и упорная выносливость в сочетании с самокритикой привели меня к моим идеям.
",знать особый талант  —  любопытство навязчивость упорный выносливость сочетание самокритика приводить идея
"Если вы что-то не можете объяснить 6-летнему ребёнку, вы сами этого не понимаете.
",что-то мочь объяснять 6 летний ребенок это понимать
"Кто не поддается обману, не знает, что такое счастье.
",поддаваться обман знать счастие
"Действительность — это иллюзия, хотя и очень стойкая.
",действительность  —  это иллюзия хотя очень стойкий
"Поиск истины важнее, чем обладание истиной.
",поиск истина важный обладание истина
"Чтобы пробить стену лбом, нужен или большой разбег, или много лбов.
",пробивать стена лоб нужный большой разбег лоб
"Все это так не потому, что я такой умный. Это все из-за того, что я долго не сдаюсь при решении задачи.
",это умный это из-за долго сдаваться решение задача
"Я никогда не думаю о будущем. Оно приходит само достаточно скоро.
",думать будущее оно приходить достаточно скоро
"Умные люди пытаются решать проблемы, блестящие стараются их не делать!
",умный человек пытаться решать проблема блестящий стараться делать
"Трагедия переживания себя, как отдельного от всех других, — это то заблуждение, которое становится нашей тюрьмой.
","трагедия переживание отдельный , —  это заблуждение который становиться наш тюрьма"
"Человек может найти смысл в жизни, только посвятив себя обществу.
",человек мочь находить смысл жизнь посвящать общество
"Друг - это человек, который знает мелодию вашего сердца, которая будет петь вам, когда вы забудете об этом.
",друг это человек который знать мелодия ваш сердце который петь забывать это
"Благоприятная возможность скрывается среди трудностей и проблем.
",благоприятный возможность скрываться среди трудность проблема
"Делай просто, насколько возможно, но не проще этого.
",делать просто насколько возможно просто это
"Для тех из нас, кто верит в физику, линия раздела между прошлым, настоящим и будущим — это только иллюзия, какой бы прочной она не была.
",верить физика линия раздел прошлое настоящее будущий  —  это иллюзия прочный
"Подлинная ценность человека в первую очередь определяется мерой и смыслом, в каких он сумел отрешиться от своего «я».
",подлинный ценность человек первый очередь определяться мера смысл суметь отрешаться свой  « »
"Выдающиеся личности формируются не посредством красивых речей, а собственным трудом и его результатами.
",выдающийся личность формироваться посредством красивый речь собственный труд результат
"Вечно непознаваемое в мире — это то в нем, что кажется нам понятным.
",вечно непознаваемый мир  —  это казаться понятный
"Вся наука является не чем иным, как усовершенствованием повседневного мышления.
",весь наука являться иной усовершенствование повседневный мышление
"Лишь немногие в состоянии спокойно высказывать мнения, расходящиеся с предрассудками окружающей среды, большинство же людей вообще неспособно прийти к такого рода мнениям.
",лишь немногий состояние спокойно высказывать мнение расходиться предрассудок окружающий среда большинство человек вообще неспособный приходить род мнение
"Логика приведет вас из пункта А в пункт Б. Воображение приведет вас куда угодно.
",логика приводить пункт пункт б воображение приводить угодно
"Чем больше моя слава, тем я больше тупею; и таково, несомненно, общее правило.
",слава тупеть таков несомненно общий правило
"Вы должны изучить правила игры. И тогда вы будете играть лучше, чем кто-либо ещё.
",должный изучать правило игра играть кто-либо
"Чтобы выигрывать, прежде всего нужно играть.
",выигрывать прежде нужно играть
"Часто случалось, что существенный успех был достигнут проведением последовательной аналогии между несвязанными по виду явлениями.
",часто случаться существенный успех достигать проведение последовательный аналогия несвязанный вид явление
"Слова были и остаются пустым звуком; и, служа идеалу лишь на словах, погибнуть за него невозможно. Но личность творится не тем, что человек слышит и говорит, а трудом и деятельностью.
",слово оставаться пустой звук служить идеал лишь слово погибать невозможно личность твориться человек слышать говорить труд деятельность
"Единственное, чему научила меня моя долгая жизнь: что вся наша наука перед лицом реальности выглядит примитивно и по-детски наивно — и всё же это самое ценное, что у нас есть.
",единственный научать долгий жизнь весь наш наука лицо реальность выглядеть примитивно по-детски наивно  —  это самый ценный
"У человечества есть все основания ставить провозвестников моральных ценностей выше, чем открывателей научных истин.
",человечество весь основание ставить провозвестник моральный ценность высокий открыватель научный истина
"Законы математики, имеющие какое-либо отношение к реальному миру, ненадёжны; а надёжные математические законы не имеют отношения к реальному миру.
",закон математика иметь какой-либо отношение реальный мир ненадежный надежный математический закон иметь отношение реальный мир
"Вечная загадка мира — это его познаваемость. …Сам факт этой познаваемости представляется чудом.
",вечный загадка мир  —  это познаваемость … факт познаваемость представляться чудо
"Невозможно решить проблему на том же уровне, на котором она возникла. Нужно стать выше этой проблемы, поднявшись на следующий уровень.
",невозможно решать проблема уровень который возникать нужно становиться высокий проблема подниматься следующий уровень
