line,lemmas
"Я ничему не учу своих учеников, я лишь создаю условия, в которых они сами научатся.
",ничто учить свой ученик лишь создавать условие который научаться
"Когда слепой жучок ползёт по плоскости шара, он не замечает, что путь, который он проделывает, искривлён. Мне удалось это заметить.
",слепой жучок ползти плоскость шар замечать путь который проделывать искривлять удаваться это замечать
"Есть только две бесконечные вещи: Вселенная и глупость. Хотя насчет Вселенной я не уверен.
",бесконечный вещь вселенная глупость хотя насчет вселенная уверенный
"Единственный разумный способ обучать людей — это подавать им пример.
",единственный разумный способ обучать человек  —  это подавать пример
"Только те, кто предпринимают абсурдные попытки, смогут достичь невозможного.
",предпринимать абсурдный попытка смочь достигать невозможный
"Нельзя говорить о каких-то великих достижениях и успехах, доколе на земле существуют несчастные дети.
",говорить какой-то великий достижение успех доколе земля существовать несчастный ребенок
"Чтобы стать безупречным членом стада овец, нужно в первую очередь быть овцой.
",становиться безупречный член стадо овца нужно первый очередь овца
"Бессмысленно продолжать делать то же самое и ждать других результатов.
",бессмысленно продолжать делать самый ждать результат
"Если беспорядок на столе означает беспорядок в голове, то что же тогда означает пустой стол?
",беспорядок стол означать беспорядок голова означать пустой стол
"Разум, однажды расширивший свои границы, никогда не вернется в прежние.
",разум однажды расширять свой граница вернуться прежний
"По-настоящему великие мысли приходят в голову так редко, что их нетрудно и запомнить.
",по-настоящему великий мысль приходить голова редко нетрудно запоминать
"Истинная ценность человека определяется тем, насколько он освободился от эгоизма и какими средствами он этого добился.
",истинный ценность человек определяться насколько освобождаться эгоизм средство это добиваться
"Что может знать рыба о воде, в которой плавает всю жизнь?
",мочь знать рыба вода который плавать весь жизнь
"Наше положение на Земле поистине удивительно. Каждый появляется на ней на короткий миг, без понятной цели, хотя некоторым удаётся цель придумать. Но с точки зрения обыденной жизни очевидно одно: мы живём для других людей — и более всего для тех, от чьих улыбок и благополучия зависит наше собственное счастье.
",наш положение земля поистине удивительно каждый появляться короткий миг понятный цель хотя некоторый удаваться цель придумывать точка зрение обыденный жизнь очевидно жить человек  —  чей улыбка благополучие зависеть наш собственный счастие
"Каждый, кто серьёзно занимается наукой, убеждается в том, что в законах природы присутствует некий дух, и этот дух выше человека. По этой причине занятия наукой приводят человека к религии.
",каждый серьезно заниматься наука убеждаться закон природа присутствовать некий дух дух выше человек причина занятие наука приводить человек религия
"Все мы гении. Но если вы будете судить рыбу по её способности взбираться на дерево, она проживёт всю жизнь, считая себя дурой.
",весь гений судить рыба способность взбираться дерево проживать весь жизнь считать дура
"Моральный прогресс общества зависит исключительно от независимости человека.
",моральный прогресс общество зависеть исключительно независимость человек
