line,lemmas
"﻿Зачем мне что-то запоминать, когда я могу легко посмотреть это в книге.
",﻿ что-то запоминать мочь легко посмотреть это книга
"Бессмысленно продолжать делать то же самое и ждать других результатов.
",бессмысленно продолжать делать самый ждать результат
"Нельзя предотвратить войну, готовясь к ней.
",предотвращать война готовиться
"Разум, однажды расширивший свои границы, никогда не вернется в прежние.
",разум однажды расширять свой граница вернуться прежний
"Все с детства знают, что то-то и то-то невозможно. Но всегда находится невежда, который этого не знает. Он-то и делает открытие.
",детство знать то-то то-то невозможно находиться невежда который это знать делать открытие
"Как много мы знаем, и как мало мы понимаем.
",знать мало понимать
"Никаким количеством экспериментов нельзя доказать теорию; но достаточно одного эксперимента, чтобы её опровергнуть.
",никакой количество эксперимент доказывать теория достаточно эксперимент опровергать
"Что может знать рыба о воде, в которой плавает всю жизнь?
",мочь знать рыба вода который плавать весь жизнь
"Вы действительно считаете, что Луна существует только когда вы на неё смотрите?
",действительно считать луна существовать смотреть
"Все мы гении. Но если вы будете судить рыбу по её способности взбираться на дерево, она проживёт всю жизнь, считая себя дурой.
",весь гений судить рыба способность взбираться дерево проживать весь жизнь считать дура
"Моральный прогресс общества зависит исключительно от независимости человека.
",моральный прогресс общество зависеть исключительно независимость человек
"Единственная причина для существования времени — чтобы все не случилось одновременно.
",единственный причина существование время  —  случаться одновременно
"Если жить, будто ничего в этом мире не является чудом, то вы сможете делать все, что захотите и у вас не будет препятствий. Если же жить так, будто все является чудом, то вы сможете наслаждаться даже самыми небольшими проявлениями красоты в этом мире. Если жить одновременно двумя способами, то ваша жизнь будет счастливой и продуктивной.
",жить ничто мир являться чудо смочь делать захотеть препятствие жить являться чудо смочь наслаждаться самый небольшой проявление красота мир жить одновременно способ ваш жизнь счастливый продуктивный
"Почему лучшие идеи осеняют меня, когда я моюсь в душе?
",почему хороший идея осенять мыться душа
"Самое прекрасное, что мы можем испытать – это ощущение тайны. Она источник всякого подлинного искусства и науки. Тот, кто никогда не испытал этого чувства, кто не умеет остановиться и задуматься, охваченный робким восторгом, тот подобен мертвецу, и глаза его закрыты.
",самый прекрасный мочь испытывать  –  это ощущение тайна источник всякий подлинный искусство наука испытывать чувство уметь останавливаться задумываться охватывать робкий восторг подобный мертвец глаз закрывать
"Наши убеждения и представления часто являются ловушкой, ограничивающей наши возможности. Единственным знанием, способным продвинуть нас на пути развития, является знание того, что воображение способно на все. И все, что возможно в нашем воображении, возможно и в реальности.
",наш убеждение представление часто являться ловушка ограничивать наш возможность единственный знание способный продвигать путь развитие являться знание воображение способный весь возможно наш воображение возможный реальность
"Всё очень просто. Все люди считают, что это сделать невозможно. Но находится один смельчак, который с этим не согласен…
",очень просто человек считать это сделать невозможный находиться смельчак который это согласный …
"Воображение — это всё. Это предварительный показ предстоящих событий в жизни.
",воображение  —  это весь это предварительный показ предстоящий событие жизнь
"Если вы хотите вести счастливую жизнь, вы должны быть привязаны к цели, а не к людям или к вещам.
",хотеть вести счастливый жизнь должный привязывать цель человек вещь
"Все люди лгут, но это не страшно, никто друг друга не слушает.
",весь человек лгать это страшный никто друг друг слушать
"Среди беспорядка найдите простоту; среди раздора найдите гармонию; в трудности найдите возможность…
",среди беспорядок находить простота среди раздор находить гармония трудность находить возможность …
"Счастливый человек слишком удовлетворен настоящим, чтобы слишком много думать о будущем.
",счастливый человек слишком удовлетворять настоящий слишком думать будущее
"Воображение — это самое главное, оно является отражением того, что мы притягиваем в свою жизнь.
",воображение  —  самый главное оно являться отражение притягивать свой жизнь
"Есть только два способа прожить жизнь. Первый — будто чудес не существует. Второй — будто кругом одни чудеса.
",способ проживать жизнь первый  —  чудо существовать второй  —  кругом чудо
"Воображение важнее, чем знания. Знания ограничены, тогда как воображение охватывает целый мир, стимулируя прогресс, порождая эволюцию.
",воображение важный знание знание ограничивать воображение охватывать целый мир стимулировать прогресс порождать эволюция
"Нет пространства и времени, а есть их единство.
",пространство время единство
"Кто не поддается обману, не знает, что такое счастье.
",поддаваться обман знать счастие
"Поиск истины важнее, чем обладание истиной.
",поиск истина важный обладание истина
"Я никогда не думаю о будущем. Оно приходит само достаточно скоро.
",думать будущее оно приходить достаточно скоро
"Когда сидишь рядом с хорошенькой девушкой, час кажется минутой, а когда сядешь на горячую сковородку, то минута кажется часом.
",сидеть рядом хорошенький девушка час казаться минута садиться горячий сковородка минута кажется час
"Благоприятная возможность скрывается среди трудностей и проблем.
",благоприятный возможность скрываться среди трудность проблема
"Вечно непознаваемое в мире — это то в нем, что кажется нам понятным.
",вечно непознаваемый мир  —  это казаться понятный
"Малое знание — опасная вещь, впрочем, как и большое.
",малый знание  —  опасный вещь большой
"Умный человек разрешает проблему. Мудрый человек избегает её.
",умный человек разрешать проблема мудрый человек избегать
"Раньше мне никогда не приходило в голову, что любое случайно оброненное мною замечание будет подхвачено и увековечено. Если бы знал, ещё глубже спрятался бы в своей раковине.
",рано приходить голова любой случайно обронить замечание подхватывать увековечивать знать глубоко спрятаться свой раковина
"Когда нормальный человек ищет иголку в стоге сена и рано или поздно её находит, он успокаивается. Гений в отличие от нормального человека попытается найти все возможные иголки.
",нормальный человек искать иголка стог сено рано поздно находить успокаиваться гений отличие нормальный человек попытаться находить весь возможный иголка
"Самое прекрасное из всего, что мы можем переживать, — это непостижимое. Оно служит источником подлинных искусства и науки.
","самый прекрасный мочь переживать , —  это непостижимый оно служить источник подлинный искусство наука"
"Наша главная проблема, похоже, заключается в том, что мы совершенствуем методы, но при этом путаемся в целях.
",наш главный проблема похоже заключаться совершенствовать метод это путаться цель
"Если бы я узнал, что через три часа должен умереть, это не произвело бы на меня большого впечатления. Я подумал бы о том, как лучше всего использовать эти три часа.
",узнавать час должный умирать это производить большой впечатление подумать использовать час
"Учитесь у вчера, живите сегодня, надейтесь на завтра. Главное — не прекращать задавать вопросы… Никогда не теряйте священной любознательности.
",учиться вчера жить сегодня надеяться завтра главное  —  прекращать задавать вопрос … терять священный любознательность
"Законы математики, имеющие какое-либо отношение к реальному миру, ненадёжны; а надёжные математические законы не имеют отношения к реальному миру.
",закон математика иметь какой-либо отношение реальный мир ненадежный надежный математический закон иметь отношение реальный мир
"Вечная загадка мира — это его познаваемость. …Сам факт этой познаваемости представляется чудом.
",вечный загадка мир  —  это познаваемость … факт познаваемость представляться чудо
"Я достаточно художник, чтобы свободно рисовать на моем воображении. Воображение важнее знаний. Знания ограничены. Воображение окружает мир.
",достаточно художник свободно рисовать воображение воображение важный знание знание ограничивать воображение окружать мир
"Непросто сказать, в чём заключается истина, но ложь очень часто легко распознать.
",непросто сказать заключаться истина ложь очень часто легко распознавать
"Часто перефразируется: Как много мы знаем, и как мало мы понимаем.
",часто перефразироваться знать мало понимать
"Кто бы мог подумать в 1900 году , что через пятьдесят лет мы будем знать так много и понимать так мало.
",мочь подумать 1900 год пятьдесят год знать понимать мало
"Любой дурак может знать. Дело в том, чтобы понять.",любой дурак мочь знать дело понимать
